cell_id,state,latitude,longitude,B2,B3,B4,B8,B11,B12,ndvi,clay_index,ferrous_index,mn_proxy,elevation,slope,distance_to_fault,prospectivity_score,confidence,priority
CELL-00011,Odisha,21.922479,83.648115,0.1005,0.1275,0.0474,0.1215,0.3298,0.1879,0.4389,1.755,2.7154,0.2741,164.0,34.8,2.9,1.0,0.6163,High
CELL-00012,Odisha,20.364155,83.909825,0.0331,0.1338,0.0312,0.2783,0.3989,0.2942,0.7983,1.3561,1.4335,0.1511,776.7,10.7,31.2,0.542,0.7014,Medium
CELL-00013,Odisha,20.392131,85.659813,0.0785,0.0592,0.0862,0.2449,0.3448,0.2701,0.4794,1.2767,1.4077,0.1215,946.2,0.4,20.8,0.7103,0.5579,High
CELL-00014,Odisha,20.77944,85.280869,0.0378,0.1103,0.0587,0.1042,0.1572,0.3428,0.2792,0.4586,1.5079,-0.3712,981.7,33.6,24.4,0.834,0.5433,High
CELL-00015,Odisha,21.363132,85.533071,0.0328,0.1032,0.047,0.2136,0.316,0.1928,0.6393,1.6387,1.4789,0.2421,513.5,13.8,23.0,0.9237,0.6644,High
CELL-00016,Odisha,22.866004,85.36071,0.061,0.1332,0.0988,0.1891,0.3491,0.0615,0.3139,5.6735,1.8457,0.7003,1091.9,16.2,31.9,1.0,0.5877,High
CELL-00017,Odisha,21.910009,84.841801,0.0287,0.1078,0.047,0.3581,0.2439,0.2541,0.7678,0.96,0.6811,-0.0204,145.8,3.0,35.8,0.6608,0.8498,Medium
CELL-00018,Odisha,20.889607,84.04911,0.1207,0.1292,0.0533,0.1609,0.1115,0.2481,0.5022,0.4494,0.6927,-0.3799,940.8,9.3,1.0,0.8887,0.6105,High
CELL-00019,Odisha,21.873991,84.145819,0.0467,0.0482,0.1307,0.3711,0.286,0.2091,0.4791,1.3681,0.7708,0.1554,146.1,33.9,39.9,0.9119,0.9027,High
CELL-00020,Odisha,22.24422,85.435309,0.1053,0.0492,0.0809,0.4248,0.1519,0.1617,0.6801,0.9395,0.3575,-0.0312,575.3,15.4,30.6,0.4877,0.593,Medium
CELL-00021,Odisha,22.660775,84.937432,0.0572,0.1524,0.175,0.3963,0.3741,0.1257,0.3872,2.9764,0.9439,0.497,930.5,16.1,42.1,0.9645,0.6874,High
CELL-00022,Odisha,21.968486,83.532286,0.0909,0.1777,0.1887,0.1151,0.1327,0.0895,-0.2423,1.4828,1.1532,0.1945,898.6,28.6,10.7,1.0,0.6409,High
CELL-00023,Odisha,22.198405,84.626712,0.0967,0.1063,0.0736,0.2978,0.3004,0.312,0.6038,0.963,1.009,-0.0189,799.9,26.6,8.0,0.8008,0.6916,High
CELL-00024,Odisha,20.740037,85.179385,0.1489,0.0449,0.0923,0.38,0.1453,0.2165,0.6093,0.671,0.3823,-0.1969,906.4,21.6,9.4,0.7136,0.5861,High
CELL-00025,Odisha,21.66268,83.015689,0.1189,0.0353,0.1542,0.1709,0.3866,0.1604,0.0512,2.4104,2.2625,0.4136,459.6,5.2,15.3,1.0,0.3666,High
CELL-00026,Odisha,22.166213,85.658587,0.0971,0.0887,0.0943,0.3435,0.081,0.2359,0.5693,0.3435,0.2359,-0.4886,491.0,27.8,4.6,0.4875,0.8553,Medium
CELL-00027,Odisha,21.926977,83.194561,0.0954,0.1142,0.1209,0.3112,0.2965,0.2915,0.4404,1.0171,0.9526,0.0085,396.8,28.9,24.9,0.7073,0.529,High
CELL-00028,Odisha,22.123043,85.365845,0.0872,0.096,0.0465,0.2149,0.2189,0.0766,0.6439,2.8583,1.0187,0.4816,342.7,20.9,36.8,0.8264,0.8254,High
CELL-00029,Odisha,21.908532,85.356955,0.0354,0.0915,0.1712,0.2343,0.263,0.2263,0.1558,1.162,1.1223,0.0749,302.9,12.7,16.7,0.8307,0.7347,High
CELL-00030,Odisha,21.554236,83.896177,0.1423,0.0689,0.0973,0.4055,0.3494,0.1058,0.6128,3.3017,0.8618,0.5351,982.9,16.0,24.1,1.0,0.8863,High
CELL-00031,Odisha,21.310552,85.188525,0.1195,0.0538,0.1298,0.1474,0.3204,0.2471,0.0632,1.2969,2.1743,0.1293,1152.3,2.4,2.9,1.0,0.6036,High
CELL-00032,Odisha,20.740936,85.718764,0.0524,0.0708,0.1567,0.2574,0.3285,0.0696,0.2432,4.7198,1.2764,0.6503,636.3,1.2,3.1,1.0,0.673,High
CELL-00033,Odisha,21.04203,85.6995,0.0228,0.1296,0.1934,0.2961,0.3798,0.0657,0.2097,5.7826,1.2828,0.7051,560.7,9.1,36.5,1.0,0.6641,High
CELL-00034,Odisha,21.695991,84.391797,0.1464,0.1213,0.0829,0.1399,0.1284,0.1176,0.2559,1.0919,0.9176,0.0439,376.1,29.8,28.1,0.847,0.7726,High
CELL-00035,Odisha,22.580419,85.168443,0.0288,0.1362,0.1178,0.1286,0.2267,0.1954,0.0437,1.1599,1.7624,0.074,282.4,33.1,42.5,0.7948,0.8104,High
CELL-00036,Odisha,21.235297,84.95292,0.0909,0.0393,0.1123,0.3822,0.227,0.0656,0.546,3.4604,0.5938,0.5516,964.9,7.0,12.9,1.0,0.626,High
CELL-00037,Odisha,22.270255,84.558158,0.0466,0.1617,0.1783,0.4047,0.1564,0.1854,0.3883,0.8438,0.3865,-0.0847,1183.5,27.0,1.4,0.7255,0.6105,High
CELL-00038,Odisha,22.727661,84.616105,0.0847,0.0458,0.1382,0.3877,0.2017,0.2827,0.4744,0.7136,0.5203,-0.1671,1160.9,7.1,26.2,0.6559,0.5482,Medium
CELL-00039,Odisha,21.73278,84.903747,0.1237,0.0894,0.1847,0.2866,0.1305,0.2588,0.2161,0.5045,0.4556,-0.3294,972.6,11.1,42.9,0.7264,0.7784,High
CELL-00040,Odisha,22.950564,83.422135,0.0463,0.0576,0.1809,0.329,0.1287,0.1821,0.2904,0.7066,0.3911,-0.1719,776.8,2.9,44.1,0.3947,0.6701,Low
CELL-00041,Odisha,22.90138,84.253283,0.1479,0.1302,0.1342,0.1581,0.3622,0.1782,0.0816,2.0321,2.2913,0.3404,278.5,0.4,28.0,1.0,0.609,High
CELL-00042,Odisha,22.670774,83.23822,0.1151,0.0581,0.1745,0.3867,0.2531,0.2631,0.3782,0.9619,0.6544,-0.0194,445.8,16.5,41.1,0.2764,0.481,Low
CELL-00043,Odisha,21.482637,85.484748,0.0636,0.0561,0.1482,0.3891,0.1122,0.122,0.4484,0.92,0.2884,-0.0417,256.2,12.2,22.5,0.6686,0.778,Medium
CELL-00044,Odisha,21.862786,84.057125,0.1294,0.1007,0.1962,0.3219,0.1204,0.2529,0.2426,0.4762,0.374,-0.3548,457.6,24.0,3.5,0.824,0.6882,High
CELL-00045,Odisha,20.681539,85.511123,0.0563,0.1264,0.1449,0.2794,0.1777,0.1138,0.3169,1.5616,0.6359,0.2192,136.5,10.6,32.7,0.7382,0.6716,High
CELL-00046,Odisha,21.994955,83.780861,0.1379,0.1306,0.1209,0.1388,0.2231,0.1881,0.0692,1.1858,1.6065,0.085,1051.0,19.1,19.0,0.9468,0.66,High
CELL-00047,Odisha,22.219712,85.75423,0.0564,0.1588,0.0726,0.4188,0.3213,0.2915,0.7045,1.1022,0.7672,0.0486,119.8,33.7,36.3,0.5677,0.5304,Medium
CELL-00048,Odisha,20.844564,85.618262,0.0346,0.1356,0.1173,0.1338,0.1574,0.0537,0.0656,2.9301,1.1765,0.4911,615.6,10.5,29.9,0.929,0.4988,High
CELL-00049,Odisha,22.22958,83.144429,0.1374,0.1578,0.1402,0.3076,0.3655,0.1056,0.3739,3.4616,1.1882,0.5517,186.9,8.4,39.7,0.9511,0.5224,High
CELL-00050,Odisha,22.986313,85.567088,0.0878,0.0395,0.1696,0.3096,0.1168,0.0782,0.2921,1.4942,0.3771,0.1981,1100.6,23.4,41.5,0.4606,0.6256,Medium
CELL-00051,Odisha,21.552339,84.291282,0.0612,0.0952,0.1593,0.3107,0.3656,0.183,0.3221,1.9977,1.1768,0.3328,767.8,22.1,29.6,1.0,0.846,High
CELL-00052,Odisha,21.537091,83.312674,0.07,0.1032,0.1374,0.4327,0.2722,0.2731,0.518,0.9968,0.6291,-0.0016,656.9,22.2,3.5,0.5993,0.4898,Medium
CELL-00053,Odisha,21.41748,83.136946,0.0382,0.0715,0.1949,0.216,0.2343,0.1088,0.0513,2.1525,1.0846,0.3656,771.9,9.8,10.3,0.9264,0.5959,High
CELL-00054,Odisha,20.022992,83.657206,0.0248,0.0462,0.081,0.3809,0.2631,0.2038,0.6493,1.2908,0.6906,0.1269,422.8,32.6,19.9,0.5246,0.4697,Medium
CELL-00055,Odisha,20.341515,84.035669,0.086,0.1611,0.1088,0.3458,0.3977,0.0894,0.5212,4.4462,1.1501,0.6328,402.2,13.8,21.1,1.0,0.5946,High
CELL-00056,Odisha,22.142098,84.823716,0.0602,0.1536,0.1919,0.3874,0.0805,0.2409,0.3375,0.3341,0.2078,-0.4991,156.2,9.0,3.0,0.8766,0.7818,High
CELL-00057,Odisha,20.343463,84.151517,0.0793,0.0854,0.0418,0.2466,0.3204,0.0713,0.7102,4.4932,1.299,0.6359,188.2,12.4,47.1,1.0,0.7345,High
CELL-00058,Odisha,21.08576,84.780982,0.0213,0.1254,0.1844,0.3144,0.3596,0.2672,0.2606,1.3458,1.1437,0.1474,232.6,31.6,3.3,0.9246,0.7358,High
CELL-00059,Odisha,20.03512,84.266103,0.0584,0.1029,0.1239,0.1153,0.1194,0.2176,-0.0359,0.5486,1.0351,-0.2915,477.5,25.5,32.6,0.6935,0.662,Medium
CELL-00060,Odisha,21.289793,85.0189,0.0558,0.0759,0.162,0.2562,0.3355,0.2967,0.2253,1.1306,1.3092,0.0613,1043.3,32.1,21.5,1.0,0.5412,High
CELL-00061,Odisha,21.113517,84.803223,0.1117,0.1333,0.0874,0.1584,0.2178,0.0928,0.2888,2.3472,1.3748,0.4025,1079.1,12.1,7.7,1.0,0.7102,High
CELL-00062,Odisha,21.910707,84.021812,0.0293,0.0914,0.076,0.337,0.2738,0.1594,0.6319,1.7182,0.8126,0.2642,339.7,34.6,22.7,0.7893,0.7479,High
CELL-00063,Odisha,21.456769,83.08261,0.0857,0.1746,0.0892,0.1136,0.0899,0.1664,0.1208,0.5403,0.7911,-0.2984,276.0,0.8,37.8,0.4755,0.5518,Medium
CELL-00064,Odisha,22.70025,83.348417,0.1443,0.0771,0.1799,0.311,0.3445,0.3452,0.2671,0.9981,1.1078,-0.001,417.2,33.6,19.5,0.4835,0.4378,Medium
CELL-00065,Odisha,21.624223,83.462435,0.092,0.1113,0.1571,0.3918,0.2209,0.1407,0.4274,1.5703,0.5639,0.2219,385.3,6.8,2.9,0.7084,0.5567,High
CELL-00066,Odisha,22.899252,84.673126,0.0651,0.1171,0.0451,0.2554,0.2804,0.1967,0.7001,1.4257,1.0978,0.1755,542.0,34.8,44.0,0.6873,0.7843,Medium
CELL-00067,Odisha,21.861981,83.603936,0.0714,0.0359,0.1056,0.2901,0.1529,0.3392,0.4662,0.4507,0.5271,-0.3786,1100.4,25.3,26.7,0.6007,0.683,Medium
CELL-00068,Odisha,22.382632,83.827303,0.134,0.1716,0.0468,0.2619,0.3939,0.195,0.6969,2.0199,1.5039,0.3377,1049.9,20.6,18.8,0.8632,0.5682,High
CELL-00069,Odisha,22.285395,84.159622,0.0865,0.1038,0.1239,0.403,0.3938,0.1723,0.5296,2.2861,0.9774,0.3914,1010.3,26.8,28.7,1.0,0.6512,High
CELL-00070,Odisha,22.679271,83.187373,0.1349,0.0972,0.1119,0.3193,0.3764,0.0557,0.4811,6.7542,1.1789,0.7421,624.5,24.1,36.1,1.0,0.576,High
CELL-00071,Odisha,20.898187,84.076147,0.1246,0.0718,0.0579,0.4351,0.0828,0.3493,0.765,0.2371,0.1904,-0.6167,844.5,29.0,14.7,0.6611,0.7612,Medium
CELL-00072,Odisha,20.428551,85.260284,0.12,0.1288,0.1579,0.3961,0.2764,0.0766,0.4299,3.6086,0.6977,0.566,636.4,2.7,20.4,0.9233,0.5885,High
CELL-00073,Odisha,21.046462,83.332994,0.1251,0.1722,0.033,0.4343,0.2472,0.1399,0.8587,1.7675,0.5693,0.2773,184.5,17.5,39.7,0.5818,0.6204,Medium
CELL-00074,Odisha,20.218706,84.20862,0.0584,0.0649,0.0706,0.3812,0.3774,0.1715,0.6876,2.1999,0.9899,0.375,1096.7,11.3,23.8,0.8559,0.479,High
CELL-00075,Odisha,22.936943,84.810479,0.0665,0.1272,0.0421,0.411,0.241,0.1848,0.8141,1.304,0.5863,0.1319,744.5,21.9,3.6,0.4974,0.6577,Medium
CELL-00076,Odisha,22.141858,85.467604,0.1245,0.1129,0.1136,0.15,0.3281,0.1314,0.138,2.4966,2.1873,0.428,646.4,9.9,6.7,1.0,0.6411,High
CELL-00077,Odisha,22.245936,83.95276,0.02,0.1067,0.0284,0.1967,0.3062,0.0688,0.7474,4.4506,1.5572,0.6331,1023.3,0.1,12.3,1.0,0.7738,High
CELL-00078,Odisha,20.305677,84.080702,0.0552,0.1564,0.0764,0.3761,0.3654,0.1801,0.6623,2.0284,0.9715,0.3396,1100.9,13.2,48.2,0.74,0.5519,High
CELL-00079,Odisha,21.481442,84.162946,0.1023,0.1356,0.0208,0.1584,0.3082,0.2499,0.768,1.2331,1.9451,0.1044,1162.7,26.6,47.5,0.9133,0.8552,High
CELL-00080,Odisha,20.316095,85.345472,0.1037,0.0372,0.0848,0.4349,0.2401,0.1798,0.6736,1.3354,0.5522,0.1436,603.5,7.3,18.4,0.5444,0.567,Medium
CELL-00081,Odisha,22.302703,84.249513,0.1269,0.1576,0.0582,0.3301,0.2311,0.314,0.7004,0.736,0.7002,-0.1521,337.3,23.7,30.4,0.5868,0.6321,Medium
CELL-00082,Odisha,21.954919,85.215792,0.061,0.1267,0.0911,0.3496,0.1437,0.3171,0.5865,0.4534,0.4112,-0.3761,416.2,12.9,2.9,0.7101,0.5726,High
CELL-00083,Odisha,20.802778,85.506441,0.0219,0.0869,0.0807,0.1068,0.1198,0.1741,0.1389,0.6881,1.1221,-0.1847,642.2,14.2,26.5,0.738,0.6178,High
CELL-00084,Odisha,21.392285,85.890498,0.0875,0.1316,0.0761,0.3709,0.3273,0.2064,0.6594,1.586,0.8825,0.2266,1173.6,4.4,0.8,0.8165,0.65,High
CELL-00085,Odisha,20.360622,83.796748,0.0223,0.074,0.1592,0.2813,0.1914,0.1615,0.2773,1.1849,0.6804,0.0846,101.5,10.5,32.3,0.6826,0.6669,Medium
CELL-00086,Odisha,21.373987,84.194016,0.0594,0.0399,0.0611,0.1863,0.2349,0.2742,0.5062,0.8566,1.2608,-0.0772,621.2,2.0,47.9,0.8959,0.7734,High
CELL-00087,Odisha,22.888305,83.226815,0.0675,0.0638,0.0552,0.1493,0.2792,0.2844,0.4597,0.9816,1.8701,-0.0093,736.1,5.1,40.6,0.5508,0.6753,Medium
CELL-00088,Odisha,22.022391,83.779715,0.0649,0.1676,0.0723,0.2645,0.3648,0.2623,0.5707,1.3909,1.3794,0.1635,168.4,5.2,0.4,0.9061,0.8755,High
CELL-00089,Odisha,20.402825,85.873802,0.0889,0.0663,0.1101,0.3379,0.1044,0.1324,0.5084,0.7884,0.309,-0.1183,987.7,16.1,27.3,0.3425,0.528,Low
CELL-00090,Odisha,20.497249,84.336625,0.0472,0.0375,0.1719,0.4434,0.3338,0.3061,0.4414,1.0904,0.7528,0.0432,366.2,33.6,9.8,0.5905,0.6938,Medium
CELL-00091,Odisha,21.310988,84.780683,0.0295,0.1234,0.1966,0.1665,0.3336,0.3224,-0.0828,1.0349,2.0033,0.0172,1138.1,33.6,26.1,1.0,0.6249,High
CELL-00092,Odisha,22.154994,83.742021,0.1033,0.13,0.0493,0.2978,0.3269,0.1997,0.716,1.6373,1.0979,0.2417,113.3,0.3,17.9,0.7577,0.7102,High
CELL-00093,Odisha,20.96501,85.544126,0.1148,0.0443,0.0972,0.1102,0.2339,0.2487,0.0629,0.9403,2.1222,-0.0308,230.4,10.1,19.9,0.8887,0.4637,High
CELL-00094,Odisha,22.262795,85.755279,0.1436,0.1166,0.0843,0.3756,0.1603,0.2192,0.6335,0.7313,0.4268,-0.1552,494.4,23.0,12.0,0.5018,0.4843,Medium
CELL-00095,Odisha,20.662558,83.11679,0.0247,0.0563,0.176,0.1989,0.3841,0.2245,0.0609,1.7112,1.9317,0.2623,580.3,20.3,25.8,0.8625,0.6532,High
CELL-00096,Odisha,21.059151,85.682283,0.143,0.1639,0.0955,0.3731,0.2324,0.1993,0.5924,1.1664,0.6229,0.0768,325.1,20.7,9.3,0.7119,0.5687,High
CELL-00097,Odisha,20.621227,83.213475,0.029,0.1711,0.1112,0.2433,0.3395,0.3007,0.3725,1.1288,1.3954,0.0605,465.4,24.3,38.6,0.5791,0.6086,Medium
CELL-00098,Odisha,22.627649,84.617284,0.0567,0.0938,0.0268,0.1448,0.325,0.05,0.6879,6.499,2.245,0.7333,558.2,18.3,2.7,1.0,0.5214,High
CELL-00099,Odisha,20.69125,83.004421,0.1148,0.175,0.0604,0.3321,0.3174,0.3045,0.6923,1.0423,0.9559,0.0207,564.9,10.6,16.3,0.6247,0.6029,Medium
CELL-00100,Odisha,20.544842,84.112823,0.1373,0.151,0.1973,0.364,0.2058,0.2272,0.297,0.9059,0.5655,-0.0493,827.1,2.7,27.2,0.6068,0.6977,Medium
CELL-00101,Odisha,22.341895,84.751318,0.1438,0.0364,0.0678,0.3105,0.1749,0.2643,0.6418,0.6617,0.5632,-0.2036,934.9,3.6,25.7,0.4765,0.6839,Medium
CELL-00102,Odisha,22.798775,85.482519,0.1106,0.1371,0.1031,0.4223,0.3023,0.2687,0.6075,1.125,0.7157,0.0588,1047.9,9.6,40.4,0.4368,0.4457,Low
CELL-00103,Odisha,21.006831,85.935576,0.1313,0.1352,0.1509,0.2967,0.3831,0.1989,0.3259,1.9262,1.291,0.3165,518.6,5.7,39.3,0.7368,0.7168,High
CELL-00104,Odisha,20.07558,85.516992,0.0215,0.1356,0.1946,0.2532,0.1552,0.2615,0.1307,0.5936,0.613,-0.2551,998.8,19.1,48.4,0.4412,0.4714,Low
CELL-00105,Odisha,22.155362,85.587921,0.0433,0.15,0.1195,0.2388,0.1221,0.3096,0.333,0.3946,0.5115,-0.4342,273.0,10.8,14.5,0.6605,0.6905,Medium
CELL-00106,Odisha,22.390044,83.751404,0.1012,0.1158,0.1699,0.4171,0.0839,0.2522,0.4211,0.3326,0.2011,-0.5008,157.0,19.2,14.4,0.4917,0.4903,Medium
CELL-00107,Odisha,21.863877,84.00215,0.1153,0.0907,0.0323,0.3743,0.1714,0.1798,0.8411,0.9534,0.458,-0.0239,854.0,11.6,2.8,0.7784,0.6922,High
CELL-00108,Odisha,21.925203,85.014437,0.1022,0.0598,0.0953,0.3628,0.1124,0.1334,0.584,0.8432,0.3099,-0.0851,404.0,15.1,49.0,0.5886,0.624,Medium
CELL-00109,Odisha,20.538094,85.91203,0.0347,0.0905,0.1528,0.3466,0.2153,0.154,0.388,1.3983,0.6211,0.1661,537.4,9.2,10.3,0.4698,0.5309,Medium
CELL-00110,Odisha,20.862385,84.970268,0.1459,0.1205,0.0339,0.1265,0.3845,0.1392,0.5776,2.7621,3.0403,0.4684,201.3,21.0,31.2,1.0,0.7641,High
CELL-00111,Odisha,20.045332,85.895046,0.0526,0.1314,0.1472,0.3135,0.1801,0.1313,0.361,1.3716,0.5746,0.1567,757.4,30.3,47.3,0.3689,0.5277,Low
CELL-00112,Odisha,21.762758,85.103419,0.1084,0.0912,0.0228,0.304,0.161,0.1851,0.8606,0.8699,0.5295,-0.0696,1153.3,14.0,42.0,0.6589,0.5993,Medium
CELL-00113,Odisha,22.931021,83.305679,0.0211,0.095,0.0367,0.3619,0.3727,0.1802,0.816,2.0679,1.0296,0.3481,384.6,15.2,36.2,0.5976,0.5117,Medium
CELL-00114,Odisha,21.839875,84.913065,0.0515,0.1371,0.0365,0.1697,0.3608,0.2716,0.6464,1.3283,2.1255,0.141,115.1,8.7,10.7,1.0,0.6366,High
CELL-00115,Odisha,20.187579,84.376822,0.1153,0.121,0.1411,0.1284,0.3845,0.3015,-0.0472,1.275,2.9943,0.1209,985.6,28.8,46.6,0.9789,0.6229,High
CELL-00116,Odisha,21.850351,85.228644,0.1159,0.1082,0.0323,0.2299,0.3746,0.2253,0.7535,1.6626,1.6297,0.2489,692.2,9.4,18.4,1.0,0.7509,High
CELL-00117,Odisha,22.362161,84.363036,0.1019,0.0673,0.147,0.2497,0.2216,0.2448,0.2589,0.9053,0.8877,-0.0497,1129.9,2.2,41.2,0.7032,0.4917,High
CELL-00118,Odisha,20.06574,83.903138,0.0853,0.0384,0.1084,0.4245,0.1137,0.2793,0.5932,0.4071,0.2679,-0.4213,550.6,22.9,13.0,0.436,0.539,Low
CELL-00119,Odisha,20.211476,83.55694,0.1063,0.1623,0.1665,0.3398,0.1153,0.1368,0.3422,0.8434,0.3394,-0.085,440.8,8.7,25.8,0.3031,0.6138,Low
CELL-00120,Odisha,21.061367,85.485667,0.1226,0.0762,0.1845,0.4335,0.1846,0.1563,0.4029,1.1806,0.4258,0.0828,656.2,32.9,43.8,0.5386,0.553,Medium
CELL-00121,Odisha,21.660114,84.509397,0.0452,0.1588,0.1418,0.3933,0.3548,0.2745,0.4698,1.2925,0.9022,0.1276,583.1,21.4,8.0,0.9347,0.8294,High
CELL-00122,Odisha,22.081849,83.688794,0.0353,0.0548,0.0204,0.3516,0.3144,0.2045,0.8905,1.5374,0.8942,0.2118,277.5,2.9,1.0,0.7674,0.5244,High
CELL-00123,Odisha,20.316036,83.667084,0.0875,0.1212,0.0642,0.1202,0.2051,0.1203,0.304,1.7057,1.7065,0.2608,341.5,33.6,30.8,0.6857,0.7241,Medium
CELL-00124,Odisha,21.286833,84.622715,0.1105,0.1353,0.0509,0.275,0.2118,0.3112,0.6876,0.6808,0.7702,-0.1899,794.6,18.6,5.8,0.818,0.7886,High
CELL-00125,Odisha,21.01162,83.428526,0.11,0.0609,0.0905,0.4135,0.1454,0.2023,0.6408,0.7185,0.3516,-0.1638,561.2,0.6,39.6,0.5028,0.5469,Medium
CELL-00126,Odisha,21.682035,84.885279,0.1095,0.068,0.0218,0.3532,0.2514,0.3008,0.8838,0.8357,0.7118,-0.0895,1003.5,29.5,24.3,0.823,0.6735,High
CELL-00127,Odisha,21.353882,83.550327,0.1311,0.1624,0.1039,0.1265,0.2041,0.2911,0.0979,0.7012,1.6135,-0.1756,1092.0,7.1,3.3,0.972,0.7499,High
CELL-00128,Odisha,21.625283,85.904197,0.0287,0.1272,0.0333,0.2314,0.3372,0.18,0.7482,1.873,1.4572,0.3039,1196.9,19.6,16.1,0.7827,0.4696,High
CELL-00129,Odisha,21.1176,83.206141,0.068,0.0996,0.1501,0.3299,0.3068,0.0525,0.3745,5.8429,0.9301,0.7077,339.4,23.2,24.2,1.0,0.7489,High
CELL-00130,Odisha,20.19939,85.299545,0.0959,0.1473,0.1553,0.3811,0.2458,0.0921,0.4209,2.6685,0.645,0.4548,838.3,21.7,37.1,0.6915,0.523,Medium
CELL-00131,Odisha,22.671229,85.249933,0.1381,0.1438,0.1275,0.3289,0.3645,0.2236,0.4414,1.6299,1.1081,0.2395,795.6,5.5,23.7,0.6987,0.6847,Medium
CELL-00132,Odisha,20.606763,83.94148,0.0514,0.0622,0.0965,0.4177,0.2423,0.1064,0.6248,2.2774,0.5799,0.3898,184.7,24.4,19.1,0.8437,0.745,High
CELL-00133,Odisha,22.388724,83.815838,0.11,0.0696,0.189,0.3227,0.1838,0.1309,0.2613,1.405,0.5697,0.1684,310.0,24.3,10.9,0.6205,0.6936,Medium
CELL-00134,Odisha,21.985907,85.444819,0.1211,0.1441,0.0538,0.1309,0.3037,0.1605,0.4176,1.8919,2.3192,0.3084,575.6,1.1,13.0,1.0,0.4842,High
CELL-00135,Odisha,20.116938,85.000542,0.062,0.1647,0.1799,0.2139,0.3683,0.3488,0.0863,1.0558,1.7223,0.0271,1008.0,29.6,12.5,0.7873,0.5919,High
CELL-00136,Odisha,20.284754,85.996678,0.0625,0.1422,0.1652,0.4003,0.3992,0.1224,0.4157,3.2605,0.9973,0.5306,144.4,14.4,6.5,0.8675,0.4974,High
CELL-00137,Odisha,22.351215,84.698542,0.0607,0.1282,0.0618,0.105,0.3246,0.2371,0.2594,1.3689,3.0904,0.1557,938.5,1.4,41.9,1.0,0.8709,High
CELL-00138,Odisha,21.873842,85.5933,0.0963,0.1171,0.1983,0.3649,0.2215,0.2622,0.2957,0.8448,0.6072,-0.0841,528.2,8.0,29.8,0.6638,0.4167,Medium
CELL-00139,Odisha,20.634908,85.986893,0.1475,0.1274,0.1648,0.3503,0.2698,0.066,0.3601,4.0878,0.7703,0.6069,600.2,23.6,33.9,0.9291,0.5259,High
CELL-00140,Odisha,20.502071,84.501078,0.1098,0.1346,0.1368,0.1964,0.13,0.2408,0.1789,0.5398,0.662,-0.2988,759.2,6.3,35.3,0.8491,0.5972,High
CELL-00141,Odisha,22.512101,83.509185,0.0225,0.1469,0.1297,0.3449,0.3482,0.2908,0.4533,1.1972,1.0097,0.0898,1157.0,18.8,24.4,0.5747,0.5563,Medium
CELL-00142,Odisha,21.717822,83.831038,0.1398,0.1175,0.1267,0.2242,0.0966,0.0595,0.2779,1.6235,0.431,0.2377,565.7,3.0,30.3,0.7309,0.7567,High
CELL-00143,Odisha,22.58899,85.65828,0.0456,0.1406,0.0716,0.3809,0.3991,0.059,0.6837,6.7638,1.0478,0.7424,1087.1,21.8,48.7,1.0,0.5495,High
CELL-00144,Odisha,20.187182,84.005837,0.0287,0.1763,0.1671,0.3984,0.3801,0.0755,0.4091,5.033,0.9542,0.6685,524.2,2.5,10.5,1.0,0.4347,High
